;p00;p01
7805;26636;Стажер-исследователь
7806;26637;Стажер-исследователь
7807;26638;Стажер-исследователь
7808;26639;Стажер-исследователь
7809;26640;Стажер-исследователь
7810;26641;Стажер-исследователь
7811;26642;Стажер-исследователь
7812;26652;Старший бортовой инженер
7813;26656;Старший бортовой радист
7814;19854;Электромонтер по ремонту аппаратуры релейной защиты и автоматики
7815;26658;Старший госинспектор по охране природного заповедника
7816;26668;Старший инспектор по надзору на атомной станции
7817;26761;Судебный пристав по обеспечению установленного порядка деятельности судов
7818;26934;Техник авиационный по эксплуатации авиационного оборудования объективного контроля
7819;26937;Техник авиационный по эксплуатации систем воздушных судов
7820;27012;Техник-метролог
7821;27095;Техник по эксплуатации технических средств железных дорог
7822;27135;Технический руководитель
7823;27136;Технический руководитель
7824;27218;Управляющий отделением
7825;27224;Управляющий хозяйством
7826;27227;Участковый государственный инспектор по охране заповедника
7827;27245;Учитель
7828;27248;Учитель-дефектолог
7829;27251;Учитель-логопед
7830;27310;Фармацевт
7831;27431;Художник-декоратор
7832;27438;Художник компьютерной графики
7833;27439;Художник-конструктор
7834;27440;Художник-конструктор
7835;27460;Художник-оформитель
7836;27463;Художник-оформитель игровых кукол
7837;27541;Член государственной думы
7838;27543;Член совета федерации
7839;27551;Член президиума академии
7840;27566;Член центральной избирательной комиссии РФ
7841;27634;Штурман
7842;27635;Штурман
7843;27673;Штурман центра аэронавигационной информации
7844;27732;Экономист вычислительного центра
7845;27780;Эксперт федерального органа исполнительной власти
7846;27819;Электромеханик
7847;27821;Электромеханик линейный флота
7848;27854;Электромеханик телерадиовещания
7849;27858;Электромеханик флота
7850;27869;Энергетик гидроузла
7851;27933;Юрисконсульт
7852;30018;Автоклавщик
7853;30057;Анодчик
7854;30089;Старший пожарный
7855;30126;Аппаратчик восстановления гексафторида
7856;30130;Аппаратчик в производстве драгоценных металлов
7857;30132;Аппаратчик в производстве металлических порошков
7858;30138;Аппаратчик в производстве ультрадисперсных порошков
7859;30173;Аппаратчик газоочистки
7860;30180;Аппаратчик галоидирования
7861;30188;Аппаратчик-гидрометаллург
7862;-1;Сестринское дело
7863;-2;Механик воздушных линий связи
7864;-3;Печатник
7865;-4;Сварщик
7866;-5;Механик по строительству, монтажу и восстановлению автоматики, телемеханики и связи
7867;10013;Автоклавщик
7868;10084;Аппаратчик асептического консервирования
7869;10127;Аппаратчик восстановления полупроводниковых материалов
7870;10129;Аппаратчик в производстве драгоценных металлов
7871;10138;Аппаратчик вспенивания
7872;10198;Аппаратчик гранулирования
7873;10248;Аппаратчик замораживания пищевого сырья и продуктов
7874;10270;Аппаратчик изготовления пленочных материалов
7875;10309;Аппаратчик коагулирования шляма
7876;10624;Аппаратчик получения экструзионных продуктов
7877;10835;Аппаратчик производства продукции из кожевенных и коллагенсодержащих отходов
7878;10981;Аппаратчик сублимационной установки
7879;11040;Аппаратчик упаривания и сгущения продуктов
7880;11364;Варщик
7881;11450;Водитель-испытатель боевых и специальных машин
7882;11480;Волнировщик асбестоцементных листов
7883;11541;Выгрузчик огнеупорных материалов из печей
7884;11830;Дефектоскопист по магнитному и ультразвуковому контролю
7885;11837;Дефростатчик пищевых продуктов
7886;12095;Загрузчик-выгрузчик обжиговых и графитировочных печей
7887;12151;Заквасчик
7888;12192;Замерщик на топографо-геодезических и маркшейдерских работах
7889;12291;Изготовитель бисквита
7890;12296;Изготовитель вафель
7891;12320;Изготовитель изделий из органического стекла
7892;12322;Изготовитель изделий из фторопласта
7893;12333;Изготовитель карамели
7894;12341;Изготовитель конфет
7895;12357;Изготовитель мармеладо-пастильных изделий
7896;12418;Изготовитель свечей
7897;12484;Изготовитель художественных изделий из льноволокна
7898;12488;Изготовитель художественных изделий из соломки
7899;12497;Изготовитель шоколада
7900;12577;Испытатель вооружения боевых и специальных машин
7901;12956;Контролер-испытатель боевых и специальных машин (в дорожных условиях)
7902;12960;Контролер-испытатель боевых и специальных машин (в стационарных условиях)
7903;13824;Машинист линий аэрозольтранспорта
7904;14476;Модельер коробок
7905;14851;Навойщик-проборщик основы металлосеток
7906;14956;Наладчик оборудования и агрегатов в термообработке
7907;14958;Наладчик оборудования игольного производства
7908;14976;Наладчик поточно-автоматизированных линий производства сигарет
7909;15409;Обшивщик медицинских изделий
7910;15452;Окрасчик приборов и деталей
7911;15469;Оператор автоматизированного процесса производства алюминия
7912;15659;Оператор ленточного оборудования
7913;15684;Оператор линии фильтрации в пивоваренном производстве
7914;15853;Оператор по намагничиванию и контролю высококоэрцитивных магнитов
7915;15897;Оператор поточно-автоматизированных линий производства сигарет
7916;15954;Оператор пульта управления в сахарном производстве
7917;15961;Оператор пульта управления элеватором
7918;31859;Дозировщик реагентов
7919;15992;Оператор распределения пряжи
7920;15997;Оператор рассолодобычных скважин
7921;16319;Отделочник изделий, полуфабрикатов, материалов
7922;16926;Пошивщик изделий
7923;17005;Прессовщик изделий из металлических порошков
7924;17768;Распиловщик войлока
7925;18309;Сборщик щелевидных сит и металлических щеток
7926;18894;Строгальщик пластмасс
7927;19022;Съемщик изделий
7928;19279;Укладчик-заливщик продуктов консервирования
7929;19400;Формовщик изделий из вспенивающихся материалов
7930;19687;Шорник по изготовлению и отделке протезно-ортопедических изделий
7931;21380;Директор издательства
7932;22248;Заместитель начальника управления федерального органа исполнительной власти
7933;23058;Инструктор водной станции
7934;23084;Инструктор-космонавт-исследователь
7935;23495;Механик бурильной установки
7936;23783;Начальник железнодорожной станции
7937;24995;Техник по метрологии
7938;25027;Начальник управления
7939;25555;Поверенный в делах российской федерации
7940;25682;Председатель комитета государственной думы
7941;26409;Секретарь суда
7942;30171;Аппаратчик газовых смесей
7943;30175;Аппаратчик газо-разделительного производства
7944;30182;Аппаратчик гидролиза
7945;30199;Водитель боевых и специальных машин
7946;30203;Радиомеханик по ремонту радиоэлектронной аппаратуры и приборов
7947;30214;Аппаратчик деструкции фторопластов
7948;30266;Аппаратчик изготовления микросфер
7949;30322;Аппаратчик конденсационно-испарительной установки
7950;30330;Аппаратчик коррозионных испытаний
7951;30355;Аппаратчик металлопокрытий
7952;30366;Аппаратчик-наладчик электролизно-обменной цепочки
7953;30368;Аппаратчик нанесения металлического порошка
7954;30374;Аппаратчик на приготовлении смесей и растворов
7955;30427;Аппаратчик обработки силикагеля
7956;30430;Аппаратчик ожижения водорода и гелия
7957;30448;Аппаратчик опытных процессов
7958;30495;Аппаратчик пассивации газоразделительного оборудования
7959;30506;Аппаратчик переработки водородосодержащих соединений лития
7960;30533;Аппаратчик по изготовлению источников ионизирующего излучения
7961;30535;Аппаратчик по изготовлению керамических изделий
7962;30537;Аппаратчик по изготовлению пластических составов
7963;30539;Аппаратчик по изготовлению термитных изделий из ксенона
7964;30541;Аппаратчик покрытия изделий из спецматериалов, источников
7965;30549;Аппаратчик получения гексафторида урана
7966;30551;Аппаратчик получения гидроокиси лития
7967;30563;Аппаратчик получения карбонатов лития
7968;30606;Аппаратчик получения трифторида хлора
7969;30608;Аппаратчик получения фреонов
7970;30610;Аппаратчик получения фтористого аммония
7971;30612;Аппаратчик получения фтористого водорода
7972;30614;Аппаратчик получения фтористого кальция
7973;30617;Аппаратчик получения фтористых соединений редких и редкоземельных элементов
7974;30619;Аппаратчик получения фторсодержащих соединений
7975;30621;Аппаратчик получения химически чистой плавиковой кислоты
7976;30624;Аппаратчик получения хлорида лития
7977;30626;Аппаратчик по напылению селеном
7978;30634;Аппаратчик по переработке, разделению и очистке химических соединений металлов
7979;30636;Аппаратчик по подготовке продукта
7980;20666;Главный врач учреждения госсанэпидслужбы
7981;30650;Аппаратчик по разделению благородных и редкоземельных элементов
7982;30670;Аппаратчик приготовления газовых смесей
7983;30711;Аппаратчик приготовления пресс-порошков
7984;30721;Аппаратчик приготовления смазок
7985;30723;Аппаратчик приготовления суспензии
7986;30766;Аппаратчик производства граната
7987;30781;Аппаратчик производства изотопов
7988;30833;Аппаратчик производства полония, препаратов и источников на его основе
7989;30835;Аппаратчик производства препаратов ионизирующего излучения
7990;30862;Аппаратчик производства ТИ
7991;30892;Аппаратчик прокалки и восстановления
7992;30904;Аппаратчик разгонки
7993;30920;Аппаратчик рафинирования металлов
7994;30926;Аппаратчик ректификации органических соединений
7995;30950;Аппаратчик синтеза меченых соединений
7996;30989;Аппаратчик сульфоаммонизации
7997;30997;Аппаратчик сушки и помола
7998;30998;Аппаратчик сушки и прокалки
7999;31048;Аппаратчик установки разделения стабильных изотопов
8000;31075;Аппаратчик фторирования
8001;31101;Аппаратчик-щелочник
8002;31107;Аппаратчик электродиализа
8003;31109;Аппаратчик электролизно-обменной цепочки
8004;31273;Брикетировщик стружки из радиоактивных материалов
8005;31312;Вакуумщик по испытанию оборудования и изделий на герметичность
8006;31314;Вакуумщик-испытатель
8007;31325;Вальцовщик изделий из ВМ
8008;31358;Вальцовщик холодного металла
8009;31426;Вжигальщик
8010;31485;Волочильщик цветных металлов
8011;31658;Гидрировщик в производстве лития
8012;31665;Гидрорезчик специзделий
8013;31727;Гофрировщик
8014;31911;Дробильщик
8015;31921;Дробильщик-размольщик в производстве ферритовых изделий
8016;32047;Заготовщик пластмасс
8017;32109;Загрузчик-выгрузчик электролизных ванн
8018;32162;Заливщик
8019;32239;Засыпщик
8020;32328;Изготовитель источников щелочных металлов
8021;32352;Изготовитель медицинских изделий из фторопласта
8022;32466;Изготовитель фильтров и прокладок
8023;32577;Испытатель-взрывник
8024;32581;Испытатель детонаторных устройств
8025;32583;Испытатель изделий
8026;32596;Испытатель на критическом стенде
8027;32598;Испытатель пожарных лестниц и ограждений крыш
8028;32604;Испытатель специзделий
8029;32746;Кинофотооператор
8030;32758;Кладовщик инструментальной кладовой
8031;32760;Кладовщик склада спецпродукции
8032;32844;Комплектовщик готовой продукции и отходов
8033;32877;Комплектовщик специзделий
8034;32881;Комплектовщик сырья, материалов и готовой продукции
8035;32937;Контролер внутреннего полигона предприятия
8036;32941;Контролер в производстве лития
8037;32943;Контролер в производстве металлов
8038;32949;Контролер детонаторных устройств
8039;32956;Контролер изделий на автоматизированных измерительных средствах контроля
8040;33008;Контролер основного производства
8041;33014;Контролер по драгоценной продукции
8042;33025;Контролер прессовых и слесарно-сборочных работ
8043;33027;Контролер прессовых работ
8044;33035;Контролер-приемщик сборок технологических каналов
8045;33037;Контролер продукции обогащения
8046;33039;Контролер продукции цветной металлургии
8047;33042;Контролер производства изотопов
8048;33044;Контролер производства керамических изделий
8049;33046;Контролер производства ТВЭЛ
8050;33048;Контролер-расчетчик
8051;33050;Контролер производства ферритовых изделий
8052;33052;Контролер сборки, разборки специзделий
8053;33054;Контролер сборки, разборки ядерных боеприпасов
8054;33056;Контролер сборочно-снаряжательных работ
8055;33062;Контролер слесарно-сборочных, разборочных работ
8056;33064;Контролер спецпроизводства
8057;33077;Контролер технического надзора по инструменту и технологической оснастке
8058;33082;Контролер-учетчик
8059;33084;Контролер хранения, транспортирования ядерных боеприпасов и ядерноделящихся материалов
8060;33092;Контролер электровакуумного производства
8061;33107;Концентраторщик
8062;33167;Крановщик-сборщик, разборщик специзделий
8063;33253;Лаборант аэрозольной лаборатории
8064;33254;Лаборант взрывных испытаний
8065;33256;Лаборант входного контроля
8066;33258;Лаборант газового анализа и тонких пленок
8067;33260;Лаборант-геофизик
8068;33262;Лаборант-геохимик
8069;33264;Лаборант-голографист
8070;33266;Лаборант диффузионной сварки
8071;33268;Лаборант испытаний электротехнических материалов
8072;33270;Лаборант-испытатель спецаппаратуры
8073;33272;Лаборант-испытатель электровакуумных материалов и спаев
8074;33274;Лаборант-испытатель электровакуумных специзделий
8075;33277;Лаборант-коррозионист
8076;33279;Лаборант лаборатории спецпродуктов
8077;33281;Лаборант лаборатории чувствительных элементов
8078;33283;Лаборант масс-спектрометрист
8079;33285;Лаборант-металлофизик
8080;33288;Лаборант механических и климатических испытаний
8081;33290;Лаборант неразрушающих методов контроля
8082;33291;Лаборант обработки фильмовой информации физического эксперимента
8083;33292;Лаборант определения плотности
8084;33294;Лаборант органических материалов
8085;33296;Лаборант-пирометаллург
8086;33297;Лаборант по вибрационным испытаниям
8087;33298;Лаборант по газодинамическим испытаниям
8088;33300;Лаборант по измерениям физических производственных факторов
8089;33303;Лаборант по инерционным испытаниям
8090;33305;Лаборант по испытанию сверхпроводящих материалов
8091;33307;Лаборант по испытаниям газовых систем специзделий
8092;33309;Лаборант по климатическим испытаниям
8093;33311;Лаборант по механической обработке металлов
8094;33314;Лаборант по обработке металлов давлением
8095;33316;Лаборант по обработке экспериментальных и расчетных данных
8096;33318;Лаборант по определению электрических характеристик
8097;33320;Лаборант по тепловым испытаниям
8098;33323;Лаборант порошковой металлургии
8099;33325;Лаборант-препаратор
8100;33327;Лаборант приготовления электродов
8101;33329;Лаборант-приемщик проб
8102;33331;Лаборант радиоактивационных методов
8103;33333;Лаборант-радиофизик
8104;33335;Лаборант-радиохимик
8105;33337;Лаборант-радиоэлектроник
8106;33339;Лаборант-расчетчик
8107;33342;Лаборант-расчетчик характеристик надежности
8108;33344;Лаборант-рентгеногаммаграфист
8109;33347;Лаборант-рентгенолог газодинамической лаборатории
8110;33349;Лаборант специальной лаборатории стабильных изотопов
8111;33352;Лаборант-рентгеноэлектронографист
8112;33354;Лаборант теплотехнических стендов и установок
8113;33356;Лаборант-тензометрист
8114;33358;Лаборант ускорительной установки
8115;33360;Лаборант-теплофизик
8116;33362;Лаборант-физик лаборатории спецпродукта
8117;33364;Лаборант физико-химических исследований
8118;33367;Лаборант физической лаборатории
8119;33369;Лаборант-физик-гамма-спектрометрист
8120;33371;Лаборант химико-технологических исследований
8121;33373;Лаборант хроматографического анализа
8122;33375;Лаборант экспериментальных стендов и установок
8123;33377;Лаборант электровакуумных специзделий
8124;33379;Лаборант электромагнитной установки
8125;33380;Лаборант-фотометрист
8126;33381;Лаборант электротехнической лаборатории
8127;33383;Лаборант электрофизической обработки материалов
8128;33385;Лаборант-электрометаллург
8129;33387;Лаборант-электрохимик
8130;33389;Лаборант ядерной физической лаборатории
8131;33391;Литейщик керамических изделий
8132;33400;Литейщик-прессовщик
8133;33630;Машинист-водитель машины разграждения
8134;33712;Машинист дробильно-помольно-сортировочных механизмов
8135;33778;Машинист конвейера
8136;33871;Машинист мельниц
8137;33970;Машинист паровых турбин атомных электростанций
8138;33972;Машинист паровых турбин специального назначения
8139;34217;Машинист станции высокого давления
8140;34446;Механик-артиллерист
8141;34447;Механик экспериментальных стендов и установок
8142;34557;Монтажник детонаторных устройств
8143;34567;Монтажник на ремонте ванн
8144;34834;Навесчик
8145;34857;Нагревальщик цветных металлов
8146;35184;Обжигальщик отходов производства
8147;35431;Оклейщик
8148;35482;Оператор автоматической линии изготовления ТВЭЛ
8149;35494;Оператор автоматической регулирующей станции температуры
8150;35520;Оператор взвешивания изделий
8151;35522;Оператор вибростенда
8152;35557;Оператор геотехнологических скважин
8153;35559;Оператор герметизации блочков
8154;35581;Оператор дистанционного управления внутришахтными транспортными средствами
8155;35615;Оператор исследовательской горячей камеры
8156;35625;Оператор ковочно-прессовых агрегатов
8157;35627;Оператор-комплектовщик
8158;35635;Оператор контактно-стыковой сварки
8159;35670;Оператор линии по обработке цветных металлов
8160;35727;Оператор на агрегатах непрерывного обезжиривания, травления, оксидирования и нанесения гальванических покрытий
8161;35737;Оператор намагничивания ферритовых изделий
8162;35757;Оператор нормализации деталей из вм
8163;35869;Оператор по поддержанию пластового давления и химической обработке скважин
8164;35933;Оператор производственного водоснабжения вентиляционных и газовых систем
8165;35947;Оператор пульта технических средств охраны и пожарной сигнализации
8166;35949;Оператор пульта управления
8167;35958;Оператор пульта управления шахтным комплексом
8168;35959;Оператор пульта управления приготовлением закладочной смеси
8169;35961;Оператор пульта электромагнитной установки
8170;35971;Оператор радиохимического производства
8171;36001;Оператор реактора
8172;36026;Оператор снаряжения ТВЭЛ
8173;36036;Оператор специального перфоратора
8174;36052;Оператор стендов и установок радиационной техники
8175;36144;Оператор установок спецпоезда
8176;36162;Оператор центрального щита управления сублиматного производства
8177;36190;Оператор щита кип и а
8178;36192;Оператор щита парогенераторной
8179;36193;Оператор щита технологического контроля
8180;36194;Оператор экспериментальных стендов и установок
8181;36299;Отгазовщик
8182;36361;Отжигальщик цветных металлов
8183;36410;Оформитель технической документации
8184;36541;Пескоструйщик
8185;36584;Печевой иодиодного рафинирования
8186;36588;Печевой на дистилляции металлов
8187;36595;Печевой по восстановлению термическим способом
8188;36597;Печевой по переработке отходов и оборотов производства
8189;36612;Плавильщик
8190;36652;Плавильщик электронно-лучевой плавки
8191;36664;Пластикатчик
8192;36677;Повар детского питания
8193;36722;Подготовщик изделий к спеканию
8194;36737;Подготовщик тары
8195;36864;Помощник машиниста реактивной установки
8196;36910;Портной по пошиву мягкой тары
8197;36939;Правильщик проката и труб
8198;36973;Прессовщик
8199;36978;Прессовщик брикетов
8200;36982;Прессовщик вм
8201;37027;Прессовщик керамических изделий
8202;37055;Прессовщик на гидропрессах
8203;37059;Прессовщик на печах горячего прессования
8204;37086;Прессовщик порошковых смесей
8205;37118;Прессовщик твердых сплавов
8206;37131;Прессовщик ферритовых изделий
8207;37151;Приборист газодинамической лаборатории
8208;37197;Приготовитель паст и пленок
8209;40039;Старший лаборант
8210;37253;Приемщик драгоценных металлов и сырья
8211;37360;Прокальщик
8212;37362;Прокальщик металлических порошков
8213;37370;Прокатчик горячего металла
8214;37372;Прокатчик ленты из порошка
8215;37394;Промывальщик медно-никелевого порошка
8216;37535;Рабочий по изготовлению опытных изделий
8217;37537;Рабочий полигона
8218;37539;Рабочий по подготовке спецпродукта
8219;37548;Рабочий производства по изготовлению детонирующего шнура, зарядов и других комплектующих, содержащих взрывчатые вещества
8220;37617;Раздельщик лома и специзделий
8221;37797;Растворщик реагентов
8222;37819;Расчехловщик
8223;37845;Регенераторщик спецсмазок
8224;37866;Регулировщик хвостового хозяйства
8225;37903;Резчик ленты
8226;37969;Резчик фольги
8227;38266;Сборщик-снаряжальщик
8228;38274;Сборщик технологических каналов
8229;38285;Сборщик ферритовых изделий
8230;38343;Сварщик-оператор
8231;38345;Сварщик-перемотчик
8232;38347;Сварщик спеченных изделий
8233;38354;Сварщик электровакуумных приборов
8234;38388;Сепараторщик
8235;38389;Сепараторщик
8236;38448;Слесарь-вакуумщик
8237;38451;Слесарь-доводчик
8238;38453;Слесарь-доводчик специзделий
8239;38455;Слесарь-испытатель транспортных агрегатов
8240;38498;Слесарь по обслуживанию оборудования технологического регулирования
8241;38553;Слесарь по техническому обслуживанию оборудования газоразделительного производства
8242;38562;Слесарь-сборщик
8243;38566;Слесарь-сборщик универсальных сборных приспособлений (усп)
8244;38568;Слесарь-сборщик, разборщик гк, цч
8245;38570;Слесарь-сборщик, разборщик специзделий
8246;38573;Слесарь-сборщик, разборщик ядерных боеприпасов
8247;38575;Слесарь-склейщик
8248;38615;Снаряжальщик детонаторов
8249;38617;Снаряжальщик-доводчик
8250;38741;Спайщик стеклоизделий в электрических печах с газовым наполнением
8251;38744;Спекальщик
8252;38746;Спекальщик ферритовых изделий
8253;38748;Спекальщик шихты
8254;38757;Стабилизаторщик
8255;38759;Стабилизаторщик изделий холодом
8256;38797;Станочник по обработке деталей из взрывчатых материалов
8257;38919;Сушильщик
8258;39162;Токарь по обработке радиоактивных материалов
8259;39241;Трубопрокатчик
8260;39297;Упаковщик
8261;39299;Упаковщик в производстве лития
8262;39359;Фильтровальщик
8263;39361;Флотатор
8264;39466;Фотокинолаборант газодинамической лаборатории
8265;39468;Фотолаборант-расчетчик
8266;39487;Фрезеровщик специзделий
8267;39554;Чехловщик
8268;39623;Шихтовщик
8269;39629;Шлифовщик
8270;39634;Шлифовщик брикетов
8271;39647;Шлифовщик керамических изделий
8272;39653;Шлифовщик металлооптических изделий
8273;39673;Шлифовщик ферритовых изделий
8274;39714;Штамповщик оболочек
8275;39717;Штамповщик слюдяных изделий
8276;39750;Электровакуумщик по напылению и насыщению
8277;39770;Электролизник
8278;39772;Электролизник расплавленных солей
8279;39775;Электролизник хлористого лития
8280;40001;Сотрудник
8281;40002;Ведущий инженер
8282;40003;Ведущий конструктор
8283;40004;Старший инженер
8284;40005;Заместитель начальника управления
8285;40006;Заместитель директора
8286;40007;Заместитель главного инженера
8287;40008;Заместитель главного механика
8288;40009;Заместитель заведующего лабораторией
8289;40010;Заместитель главного конструктора
8290;40011;Врач-пластический хирург
8291;40012;Врач-ветсанэксперт
8292;40013;Заместитель начальника объединения
8293;40014;Аспирант
8294;40015;Старший инженер-программист
8295;40016;Заместитель начальника отдела
8296;40017;Старший инженер-технолог
8297;40018;Заместитель начальника узла
8298;40019;Заместитель начальника цеха
8299;40020;Заместитель председателя
8300;40021;Заместитель начальника конторы
8301;40022;Заместитель начальника фирмы
8302;40023;Заместитель начальника главка
8303;40024;Старший экономист
8304;40025;Главный инспектор
8305;40026;Ведущий экономист
8306;40027;Ведущий специалист
8307;40028;Заместитель начальника военторга
8308;40029;Старший редактор
8309;40030;Заместитель управляющего трестом
8310;40031;Старший помощник капитана
8311;40032;Старший техник
8312;40033;Старший ихтиолог
8313;40034;Начальник медсанчасти
8314;40035;Старший преподаватель
8315;40036;Заместитель главного врача
8316;40037;Заместитель заведующего аптекой
8317;40038;Заместитель заведующего отделом
8318;40040;Начальник теплосети
8319;40041;Врач по лечебной физкультуре
8320;40042;Руководитель программы
8321;40043;Старший механик
8322;40044;Заместитель главного бухгалтера
8323;40045;Старший бухгалтер
8324;40046;Заместитель начальника колонны
8325;40047;Заместитель начальника отделения
8326;40048;Заместитель начальника участка
8327;40049;Ведущий технолог
8328;40050;Старший прораб
8329;40051;Старший инспектор
8330;40052;Исполнительный директор
8331;40053;Помощник заместителя министра
8332;40054;Старший мастер
8333;40055;Заместитель начальника станции
8334;40056;Заместитель начальника вычислительного центра
8335;40057;Старший референт
8336;40058;Старший эксперт
8337;40059;Заместитель начальника дистанции
8338;40060;Старший ревизор
8339;40061;Врач санитарный по коммунальной гигиене
8340;40062;Заместитель начальника депо
8341;40063;Старший сменный помощник начальника оперативного отдела
8342;40064;Администратор баз данных
8343;40065;Заместитель начальника лаборатории
8344;40066;Заместитель главного контролера
8345;40067;Администратор вычислительной сети
8346;40068;Старший консультант
8347;40069;Администратор зала
8348;40070;Администратор информационной безопасности вычислительной сети
8349;40071;Старшая сестра медицинская
8350;40072;Врач скорой помощи
8351;40073;Старший геодезист
8352;40074;Заведующий магазином
8353;40075;Врач по рентгенэндоваскулярным диагностике и лечению
8354;40076;Генеральный директор
8355;40077;Старшая акушерка
8356;40078;Врач-генетик
8357;40079;Заведующий здравпунктом
8358;40080;Старший библиотекарь
8359;40081;Старший механик-электрик
8360;40082;Врач станции санитарной авиации
8361;40083;Врач-генетик-лаборант
8362;40084;Заместитель начальника производства
8363;40085;Заместитель генерального директора
8364;40086;Врач-стоматолог
8365;40087;Врач-стоматолог-ортопед
8366;40088;Врач-стоматолог-терапевт
8367;40089;Врач скорой медицинской помощи
8368;40090;Помощник начальника почтового вагона
8369;40091;Врач-гериатр
8370;40092;Врач-дезинфектолог
8371;40093;Старший инструктор
8372;40094;Врач-стоматолог-хирург
8373;40095;Врач-диабетолог
8374;40096;Врач-кардиолог
8375;40097;Главный акушер-гениколог
8376;40098;Главный капитан
8377;40099;Врач по медицинской реабилитации
8378;40100;Главный строитель кораблей
8379;40101;Сотрудник службы безопасности
8380;40102;Главный терапевт
8381;40103;Медицинская сестра участковая
8382;40104;Старший диагностик
8383;40105;Старший кладовщик
8384;40106;Механик групповой
8385;40107;Младший редактор
8386;40108;Врач-кардиореаниматолог
8387;40109;Врач-колопроктолог
8388;40110;Врач-миколог
8389;40111;Врач-неонатолог
8390;40112;Врач-нефролог
8391;40113;Старший контролер
8392;40114;Врач-ортодонт
8393;40115;Врач по спортивной медицине
8394;40116;Врач по авиационной и космической медицине
8395;40117;Врач-диабетолог
8396;40118;Врач по санитарно-гигиеническим лабораторным исследованиям
8397;40119;Врач-профпатолог
8398;40120;Врач-психоневролог
8399;40121;Врач-косметолог
8400;40122;Врач-психотерапевт
8401;40123;Техник-электрик
8402;40124;Врач-пульмонолог
8403;40125;Врач-ревматолог
8404;40126;Врач-рефлексолог
8405;40127;Врач-рефлексотерапевт
8406;40128;Врач-сексолог
8407;40129;Врач-сексопатолог
8408;40130;Врач-сурдолог-оториноларинголог
8409;40131;Врач-сурдолог-протезист
8410;40132;Младший инспектор
8411;40133;Врач-трансфузиолог
8412;40134;Врач ультразвуковой диагностики
8413;40135;Врач ультразвуковых исследований
8414;40136;Врач-фармаколог клинический
